	MuonType	wheel	sector	station	hits	tdcs	lateralities	Q	phi	phib	bX	Chi2	x	tanPsi	t0	id
3070	[Std  ]	 2	 6	1 	[27, 27, 26, -1, -1, -1, -1, -1]	[706.0, 477.0, 728.0, -1.0, -1.0, -1.0, -1.0, -1.0]	[0, 1, 1, -1, -1, -1, -1, -1]	Q1	8521.0	923.0	-1.0	39.0	11794.0	567.0	466.0	73703-23
3071	[Std  ]	-2	 7	1 	[18, 19, 19, 19, -1, -1, -1, -1]	[871.0, 596.0, 661.0, 867.0, -1.0, -1.0, -1.0, -1.0]	[1, 1, 0, 1, -1, -1, -1, -1]	Q3	4783.0	936.0	0.0	4922.0	-23800.0	-538.0	505.0	73703-24
3072	[Std  ]	-2	 7	1 	[-1, -1, -1, -1, 21, 21, 21, 21]	[-1.0, -1.0, -1.0, -1.0, 892.0, 587.0, 738.0, 735.0]	[-1, -1, -1, -1, 0, 1, 0, 1]	Q3	7549.0	508.0	0.0	391.0	-13569.0	-315.0	507.0	73703-25
3073	[Std  ]	-2	11	1 	[39, 40, 39, 40, 38, 38, 38, 38]	[769.0, 674.0, 683.0, 752.0, 683.0, 674.0, 777.0, 568.0]	[1, 0, 1, 0, 0, 1, 0, 1]	Q8	29690.0	-855.0	0.0	9180.0	60222.0	193.0	507.0	73703-26
3074	[Std  ]	-2	 4	4 	[45, 46, 45, 46, 44, 44, 44, 44]	[557.0, 803.0, 609.0, 755.0, 759.0, 648.0, 707.0, 701.0]	[1, 0, 1, 0, 0, 1, 0, 1]	Q8	15001.0	-20.0	0.0	273.0	-11894.0	-105.0	499.0	73703-27
3075	[Std  ]	-1	 4	1 	[26, 26, 26, 26, 26, 26, 26, 26]	[842.0, 575.0, 780.0, 646.0, 620.0, 807.0, 546.0, 875.0]	[0, 1, 0, 1, 0, 1, 0, 1]	Q8	13928.0	72.0	0.0	1387.0	6878.0	-142.0	501.0	73703-28
3076	[Std  ]	-1	 4	2 	[47, 47, 47, 47, 48, 49, 49, 49]	[699.0, 710.0, 635.0, 774.0, 867.0, 526.0, 823.0, 589.0]	[0, 1, 0, 1, 1, 1, 0, 1]	Q8	14586.0	46.0	0.0	3828.0	78691.0	-135.0	496.0	73703-29
3077	[Std  ]	 1	 3	1 	[10, 10, -1, 10, -1, -1, -1, -1]	[601.0, 621.0, -1.0, 780.0, -1.0, -1.0, -1.0, -1.0]	[0, 1, -1, 0, -1, -1, -1, -1]	Q1	30184.0	895.0	0.0	0.0	-59219.0	788.0	512.0	73703-30
3078	[Std  ]	 1	10	1 	[34, 35, 34, 35, 35, 36, 35, 36]	[790.0, 582.0, 817.0, 560.0, 642.0, 729.0, 662.0, 703.0]	[1, 0, 1, 0, 1, 0, 1, 0]	Q8	-2064.0	-80.0	0.0	957.0	45928.0	-55.0	498.0	73703-31
3079	[Std  ]	 1	10	2 	[27, 28, 27, 28, 27, 27, 27, 27]	[840.0, 533.0, 860.0, 510.0, 707.0, 691.0, 675.0, 721.0]	[1, 0, 1, 0, 0, 1, 0, 1]	Q8	-2848.0	-64.0	0.0	1680.0	-10281.0	-53.0	498.0	73703-32
