
Inspecting Event Number 12006 
        Wh   Se   St  | w1 w2 w3 w4 w5 w6 w7 w8 |  tdc1  tdc2  tdc3  tdc4  tdc5  tdc6  tdc7  tdc8 | lat1 lat2 lat3 lat4 lat5 lat6 lat7 lat8 | Q     phi  phib  bX      Chi2         x tanPsi     t0 
[Bayes]: Wh-1 Se 7 St3 | -1 -1 -1 -1 10 11 10 11 |    -1    -1    -1    -1   813   606   748   664 |   0    0    0    0    1    0    1    0 | Q3 -17349    10   0       360   -106106    128    498
[Bayes]: Wh-1 Se 7 St3 | 11 12 11 11 10 11 10 11 |   559   839   532   878   813   606   748   664 |   1    0    0    1    1    0    1    0 | Q8 -17372    18   0      3349   -104639    125    499
[Bayes]: Wh-1 Se 7 St3 | -1 -1 -1 -1 10 11 10 11 |    -1    -1    -1    -1   813   606   748   664 |   0    0    0    0    1    0    1    0 | Q3 -17349    10   0       360   -106106    128    498
[Bayes]: Wh-1 Se 7 St3 | 11 12 11 11 -1 -1 -1 -1 |   559   839   532   878    -1    -1    -1    -1 |   1    0    0    1   -1    0    0    0 | Q3 -17391    89   0      6561   -103164     90    496
[Bayes]: Wh-1 Se 7 St3 | -1 -1 -1 -1 10 11 10 11 |    -1    -1    -1    -1   813   606   748   664 |   0    0    0    0    1    0    1    0 | Q3 -17349    10   0       360   -106106    128    498
[Bayes]: Wh-1 Se 7 St3 | -1 -1 -1 -1 10 11 10 11 |    -1    -1    -1    -1   813   606   748   664 |   0    0    0    0    1    0    1    0 | Q3 -17349    10   0       360   -106106    128    498
[Bayes]: Wh-1 Se 7 St4 |  3  4  3  4  1  1  1  1 |   767   651   703   710   779   575   842   519 |   1    0    1    0    0    1    0    1 | Q8 -17227    13   0       138   -181933    126    499
[Bayes]: Wh-1 Se 7 St4 | -1 -1 -1 -1  1  1  1  1 |    -1    -1    -1    -1   779   575   842   519 |   0    0    0    0    0    1    0    1 | Q3 -17216    16   0       360   -183414    124    499
[Bayes]: Wh-1 Se 7 St4 |  3  4  3  4 -1 -1 -1 -1 |   767   651   703   710    -1    -1    -1    -1 |   1    0    1    0   -1    0    0    0 | Q3 -17240     8   0       183   -180452    128    498
[Bayes]: Wh 1 Se 1 St2 | 48 49 48 49 49 49 49 49 |   784   553   889   550   851   582   750   685 |   1    1    1    1    0    1    0    1 | Q8 -25547   -25   0       105     79776   -210    499
